date,aqi,category,aqi_ma7
2024-05-11,115.0,USG,138.57142857142858
2024-05-12,98.0,Moderate,137.71428571428572
2024-05-13,90.0,Moderate,135.14285714285714
2024-05-14,93.0,Moderate,123.85714285714286
2024-05-15,95.0,Moderate,108.42857142857143
2024-05-16,200.0,Unhealthy,117.0
2024-05-17,146.0,USG,119.57142857142857
2024-05-18,151.0,Unhealthy,124.71428571428571
2024-05-19,94.0,Moderate,124.14285714285714
2024-05-20,125.0,USG,129.14285714285714
2024-05-21,106.0,USG,131.0
2024-05-22,154.0,Unhealthy,139.42857142857142
2024-05-23,185.0,Unhealthy,137.28571428571428
2024-05-24,172.0,Unhealthy,141.0
2024-05-25,129.0,USG,137.85714285714286
2024-05-26,129.0,USG,142.85714285714286
2024-05-27,130.0,USG,143.57142857142858
2024-05-28,114.0,USG,144.71428571428572
2024-05-29,66.0,Moderate,132.14285714285714
2024-05-30,96.0,Moderate,119.42857142857143
2024-05-31,88.0,Moderate,107.42857142857143
2024-06-01,94.0,Moderate,102.42857142857143
2024-06-02,94.0,Moderate,97.42857142857143
2024-06-03,96.0,Moderate,92.57142857142857
2024-06-04,108.0,USG,91.71428571428571
2024-06-05,161.0,Unhealthy,105.28571428571429
2024-06-06,121.0,USG,108.85714285714286
2024-06-07,93.0,Moderate,109.57142857142857
2024-06-08,79.0,Moderate,107.42857142857143
2024-06-09,132.0,USG,112.85714285714286
2024-06-10,80.0,Moderate,110.57142857142857
2024-06-11,90.0,Moderate,108.0
2024-06-12,68.0,Moderate,94.71428571428571
2024-06-13,53.0,Moderate,85.0
2024-06-14,46.0,Good,78.28571428571429
2024-06-15,46.0,Good,73.57142857142857
2024-06-16,56.0,Moderate,62.714285714285715
2024-06-17,39.0,Good,56.857142857142854
2024-06-18,41.0,Good,49.857142857142854
2024-06-19,30.0,Good,44.42857142857143
2024-06-20,27.0,Good,40.714285714285715
2024-06-21,25.0,Good,37.714285714285715
2024-06-22,23.0,Good,34.42857142857143
2024-06-23,31.0,Good,30.857142857142858
2024-06-24,38.0,Good,30.714285714285715
2024-06-25,32.0,Good,29.428571428571427
2024-06-26,67.0,Moderate,34.714285714285715
2024-06-27,38.0,Good,36.285714285714285
2024-06-28,43.0,Good,38.857142857142854
2024-06-29,35.0,Good,40.57142857142857
2024-06-30,20.0,Good,39.0
2024-07-01,60.0,Moderate,42.142857142857146
2024-07-02,65.0,Moderate,46.857142857142854
2024-07-03,68.0,Moderate,47.0
2024-07-04,75.0,Moderate,52.285714285714285
2024-07-05,91.0,Moderate,59.142857142857146
2024-07-06,84.0,Moderate,66.14285714285714
2024-07-07,74.0,Moderate,73.85714285714286
2024-07-08,87.0,Moderate,77.71428571428571
2024-07-09,59.0,Moderate,76.85714285714286
2024-07-10,55.0,Moderate,75.0
2024-07-11,52.0,Moderate,71.71428571428571
2024-07-12,60.0,Moderate,67.28571428571429
2024-07-13,76.0,Moderate,66.14285714285714
2024-07-14,87.0,Moderate,68.0
2024-07-15,71.0,Moderate,65.71428571428571
2024-07-16,91.0,Moderate,70.28571428571429
2024-07-17,77.0,Moderate,73.42857142857143
2024-07-18,71.0,Moderate,76.14285714285714
2024-07-19,79.0,Moderate,78.85714285714286
2024-07-20,87.0,Moderate,80.42857142857143
2024-07-21,64.0,Moderate,77.14285714285714
2024-07-22,59.0,Moderate,75.42857142857143
2024-07-23,57.0,Moderate,70.57142857142857
2024-07-24,45.0,Good,66.0
2024-07-25,56.0,Moderate,63.857142857142854
2024-07-26,74.0,Moderate,63.142857142857146
2024-07-27,100.0,Moderate,65.0
2024-07-28,61.0,Moderate,64.57142857142857
2024-07-29,68.0,Moderate,65.85714285714286
2024-07-30,21.0,Good,60.714285714285715
2025-01-01,99.0,Moderate,68.42857142857143
2025-01-02,87.0,Moderate,72.85714285714286
2025-01-03,120.0,USG,79.42857142857143
2025-01-04,84.0,Moderate,77.14285714285714
2025-01-05,78.0,Moderate,79.57142857142857
2025-01-06,30.0,Good,74.14285714285714
2025-01-07,34.0,Good,76.0
2025-01-08,38.0,Good,67.28571428571429
2025-01-09,59.0,Moderate,63.285714285714285
2025-01-10,45.0,Good,52.57142857142857
2025-01-11,69.0,Moderate,50.42857142857143
2025-01-12,86.0,Moderate,51.57142857142857
2025-01-13,38.0,Good,52.714285714285715
2025-01-14,77.0,Moderate,58.857142857142854
2025-01-15,61.0,Moderate,62.142857142857146
2025-01-16,70.0,Moderate,63.714285714285715
2025-01-17,153.0,Unhealthy,79.14285714285714
2025-01-18,134.0,USG,88.42857142857143
2025-01-19,67.0,Moderate,85.71428571428571
2025-01-20,36.0,Good,85.42857142857143
2025-01-21,28.0,Good,78.42857142857143
2025-01-22,73.0,Moderate,80.14285714285714
2025-01-23,99.0,Moderate,84.28571428571429
2025-01-24,64.0,Moderate,71.57142857142857
2025-01-25,152.0,Unhealthy,74.14285714285714
2025-01-26,86.0,Moderate,76.85714285714286
2025-01-27,57.0,Moderate,79.85714285714286
2025-01-28,60.0,Moderate,84.42857142857143
2025-01-29,100.0,Moderate,88.28571428571429
2025-01-30,94.0,Moderate,87.57142857142857
2025-01-31,76.0,Moderate,89.28571428571429
2025-02-01,47.0,Good,74.28571428571429
2025-02-02,126.0,USG,80.0
2025-02-03,143.0,USG,92.28571428571429
2025-02-04,76.0,Moderate,94.57142857142857
2025-02-05,83.0,Moderate,92.14285714285714
2025-02-06,126.0,USG,96.71428571428571
2025-02-07,107.0,USG,101.14285714285714
2025-02-08,129.0,USG,112.85714285714286
2025-02-09,102.0,USG,109.42857142857143
2025-02-10,82.0,Moderate,100.71428571428571
2025-02-11,89.0,Moderate,102.57142857142857
2025-02-12,82.0,Moderate,102.42857142857143
2025-02-13,52.0,Moderate,91.85714285714286
2025-02-14,40.0,Good,82.28571428571429
2025-02-15,127.0,USG,82.0
2025-02-16,71.0,Moderate,77.57142857142857
2025-02-17,59.0,Moderate,74.28571428571429
2025-02-18,101.0,USG,76.0
2025-02-19,63.0,Moderate,73.28571428571429
2025-02-20,50.0,Good,73.0
2025-02-21,83.0,Moderate,79.14285714285714
2025-02-22,27.0,Good,64.85714285714286
2025-02-23,46.0,Good,61.285714285714285
2025-02-24,104.0,USG,67.71428571428571
2025-02-25,90.0,Moderate,66.14285714285714
2025-02-26,150.0,USG,78.57142857142857
2025-02-27,63.0,Moderate,80.42857142857143
2025-02-28,67.0,Moderate,78.14285714285714
2025-03-01,106.0,USG,89.42857142857143
2025-03-02,68.0,Moderate,92.57142857142857
2025-03-03,80.0,Moderate,89.14285714285714
2025-03-04,88.0,Moderate,88.85714285714286
2025-03-05,116.0,USG,84.0
2025-03-06,100.0,Moderate,89.28571428571429
2025-03-07,96.0,Moderate,93.42857142857143
2025-03-08,77.0,Moderate,89.28571428571429
2025-03-09,50.0,Good,86.71428571428571
2025-03-10,61.0,Moderate,84.0
2025-03-11,172.0,Unhealthy,96.0
2025-03-12,84.0,Moderate,91.42857142857143
2025-03-13,97.0,Moderate,91.0
2025-03-14,63.0,Moderate,86.28571428571429
2025-03-15,74.0,Moderate,85.85714285714286
2025-03-16,74.0,Moderate,89.28571428571429
2025-03-17,68.0,Moderate,90.28571428571429
2025-03-18,97.0,Moderate,79.57142857142857
2025-03-19,156.0,Unhealthy,89.85714285714286
2025-03-20,68.0,Moderate,85.71428571428571
2025-03-21,61.0,Moderate,85.42857142857143
2025-03-22,84.0,Moderate,86.85714285714286
2025-03-23,112.0,USG,92.28571428571429
2025-03-24,74.0,Moderate,93.14285714285714
2025-03-25,63.0,Moderate,88.28571428571429
2025-03-26,63.0,Moderate,75.0
2025-03-27,32.0,Good,69.85714285714286
2025-03-28,122.0,USG,78.57142857142857
2025-03-29,159.0,Unhealthy,89.28571428571429
2025-03-30,64.0,Moderate,82.42857142857143
2025-03-31,101.0,USG,86.28571428571429
2025-04-01,91.0,Moderate,90.28571428571429
2025-04-02,156.0,Unhealthy,103.57142857142857
2025-04-03,126.0,USG,117.0
2025-04-04,122.0,USG,117.0
2025-04-05,52.0,Moderate,101.71428571428571
2025-04-06,43.0,Good,98.71428571428571
2025-04-07,58.0,Moderate,92.57142857142857
2025-04-08,126.0,USG,97.57142857142857
2025-04-09,156.0,Unhealthy,97.57142857142857
2025-04-10,122.0,USG,97.0
2025-04-11,84.0,Moderate,91.57142857142857
2025-04-12,84.0,Moderate,96.14285714285714
2025-04-13,122.0,USG,107.42857142857143
2025-04-14,90.0,Moderate,112.0
2025-04-15,63.0,Moderate,103.0
2025-04-16,62.0,Moderate,89.57142857142857
2025-04-17,87.0,Moderate,84.57142857142857
2025-04-18,112.0,USG,88.57142857142857
2025-04-19,87.0,Moderate,89.0
2025-04-20,71.0,Moderate,81.71428571428571
2025-04-21,87.0,Moderate,81.28571428571429
2025-04-22,63.0,Moderate,81.28571428571429
2025-04-23,77.0,Moderate,83.42857142857143
2025-04-24,67.0,Moderate,80.57142857142857
2025-04-25,82.0,Moderate,76.28571428571429
2025-04-26,81.0,Moderate,75.42857142857143
2025-04-27,65.0,Moderate,74.57142857142857
2025-04-28,71.0,Moderate,72.28571428571429
2025-04-29,60.0,Moderate,71.85714285714286
2025-04-30,112.0,USG,76.85714285714286
2025-05-01,70.0,Moderate,77.28571428571429
2025-05-02,70.0,Moderate,75.57142857142857
2025-05-03,37.0,Good,69.28571428571429
2025-05-04,43.0,Good,66.14285714285714
2025-05-05,65.0,Moderate,65.28571428571429
2025-05-06,122.0,USG,74.14285714285714
2025-05-07,62.0,Moderate,67.0
2025-05-08,58.0,Moderate,65.28571428571429
2025-05-09,49.0,Good,62.285714285714285
2025-05-10,67.0,Moderate,66.57142857142857
2025-05-11,97.0,Moderate,74.28571428571429
2025-05-12,179.0,Unhealthy,90.57142857142857
2025-05-13,204.0,Very Unhealthy,102.28571428571429
2025-05-14,206.0,Very Unhealthy,122.85714285714286
2025-05-15,206.0,Very Unhealthy,144.0
2025-05-16,136.0,USG,156.42857142857142
2025-05-17,103.0,USG,161.57142857142858
2025-05-18,103.0,USG,162.42857142857142
2025-05-19,161.0,Unhealthy,159.85714285714286
2025-05-20,47.0,Good,137.42857142857142
2025-05-21,40.0,Good,113.71428571428571
2025-05-22,108.0,USG,99.71428571428571
2025-05-23,67.0,Moderate,89.85714285714286
2025-05-24,97.0,Moderate,89.0
2025-05-25,74.0,Moderate,84.85714285714286
2025-05-26,118.0,USG,78.71428571428571
2025-05-27,79.0,Moderate,83.28571428571429
2025-05-28,67.0,Moderate,87.14285714285714
2025-05-29,112.0,USG,87.71428571428571
2025-05-30,55.0,Moderate,86.0
2025-05-31,62.0,Moderate,81.0
2025-06-01,67.0,Moderate,80.0
2025-06-02,58.0,Moderate,71.42857142857143
2025-06-03,97.0,Moderate,74.0
2025-06-04,68.0,Moderate,74.14285714285714
2025-06-05,52.0,Moderate,65.57142857142857
2025-06-06,52.0,Moderate,65.14285714285714
2025-06-07,77.0,Moderate,67.28571428571429
2025-06-08,64.0,Moderate,66.85714285714286
2025-06-09,74.0,Moderate,69.14285714285714
2025-06-10,74.0,Moderate,65.85714285714286
2025-06-11,51.0,Moderate,63.42857142857143
2025-06-12,108.0,USG,71.42857142857143
2025-06-13,59.0,Moderate,72.42857142857143
2025-06-14,65.0,Moderate,70.71428571428571
2025-06-15,61.0,Moderate,70.28571428571429
2025-06-16,50.0,Good,66.85714285714286
2025-06-17,44.0,Good,62.57142857142857
2025-06-18,44.0,Good,61.57142857142857
2025-06-19,32.0,Good,50.714285714285715
2025-06-20,37.0,Good,47.57142857142857
2025-06-21,32.0,Good,42.857142857142854
2025-06-22,32.0,Good,38.714285714285715
2025-06-23,40.0,Good,37.285714285714285
2025-06-24,37.0,Good,36.285714285714285
2025-06-25,40.0,Good,35.714285714285715
2025-06-26,40.0,Good,36.857142857142854
2025-06-27,37.0,Good,36.857142857142854
2025-06-28,39.0,Good,37.857142857142854
