station_code,pollutant,period,rows,missing_pct,n_gaps_short,n_gaps_med,n_gaps_long,max_gap_h,mean_gap_h,coverage,decision,method,coverage_bucket,safeguards,neighbors_hint
NO,NO,pandemic,17544.0,32.76333789329685,721.0,124.0,10.0,1054.0,6.722807017543859,67.23666210670315,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO,NO,transition,8760.0,14.075342465753424,323.0,40.0,0.0,42.0,3.396694214876033,85.92465753424658,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO,NO,current,21888.0,14.1218932748538,547.0,57.0,7.0,523.0,5.058919803600655,85.8781067251462,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|SE|NE
NO2,NO,pandemic,17544.0,9.427724578203376,297.0,19.0,2.0,687.0,5.20125786163522,90.57227542179665,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO2,NO,transition,8760.0,2.7168949771689497,145.0,4.0,0.0,29.0,1.5973154362416109,97.28310502283104,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO
NO2,NO,current,21888.0,15.958516081871348,307.0,12.0,1.0,2880.0,10.915625,84.04148391812865,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
SE,NO,pandemic,17544.0,65.87437300501597,221.0,49.0,3.0,10239.0,42.333333333333336,34.12562699498403,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE|NE
SE,NO,transition,8760.0,4.315068493150685,229.0,1.0,0.0,11.0,1.6434782608695653,95.68493150684932,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE|NE
SE,NO,current,21888.0,2.7275219298245617,325.0,10.0,0.0,28.0,1.782089552238806,97.27247807017544,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE|NO
SO,NO,pandemic,17544.0,20.764933880528957,352.0,61.0,14.0,599.0,8.531615925058547,79.23506611947104,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NE
SO,NO,transition,8760.0,3.116438356164384,113.0,4.0,1.0,49.0,2.3135593220338984,96.88356164383562,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NO2|CE
SO,NO,current,21888.0,3.9656432748538015,201.0,13.0,2.0,196.0,4.018518518518518,96.0343567251462,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO|SE|NE
CE,NOX_final,pandemic,17544.0,10.38531691746466,255.0,75.0,2.0,66.0,5.487951807228916,89.61468308253534,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NE|SO
CE,NOX_final,transition,8760.0,1.7237442922374429,45.0,5.0,0.0,23.0,3.02,98.27625570776256,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO|NE
CE,NOX_final,current,21888.0,2.965095029239766,98.0,29.0,0.0,37.0,5.110236220472441,97.03490497076024,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO|NE
NE,NOX_final,pandemic,17544.0,57.97993616051072,37.0,3.0,1.0,10067.0,248.09756097560972,42.02006383948928,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|CE|SO
NE,NOX_final,transition,8760.0,1.552511415525114,77.0,2.0,0.0,30.0,1.7215189873417722,98.44748858447488,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SE|SO
NE,NOX_final,current,21888.0,4.052448830409356,100.0,15.0,1.0,532.0,7.646551724137931,95.94755116959064,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SO|NO
NE2,NOX_final,pandemic,17544.0,56.38964888280894,79.0,19.0,11.0,5235.0,90.76146788990826,43.61035111719106,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NE2,NOX_final,transition,8760.0,1.9977168949771689,80.0,5.0,0.0,11.0,2.0588235294117645,98.00228310502284,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|SO|SE
NE2,NOX_final,current,21888.0,12.554824561403509,112.0,15.0,3.0,2184.0,21.138461538461534,87.4451754385965,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NO,NOX_final,pandemic,17544.0,44.2202462380301,235.0,14.0,5.0,4982.0,30.54330708661417,55.7797537619699,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO|NE
NO,NOX_final,transition,8760.0,13.91552511415525,314.0,40.0,0.0,42.0,3.443502824858757,86.08447488584476,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO,NOX_final,current,21888.0,13.084795321637428,280.0,51.0,9.0,525.0,8.423529411764706,86.91520467836257,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|SE|NE
NO2,NOX_final,pandemic,17544.0,9.330825353397172,294.0,17.0,2.0,687.0,5.2300319488817895,90.66917464660284,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE
NO2,NOX_final,transition,8760.0,2.7054794520547945,144.0,4.0,0.0,29.0,1.601351351351351,97.2945205479452,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|SE|NE2
NO2,NOX_final,current,21888.0,14.268092105263158,265.0,16.0,4.0,1788.0,10.957894736842103,85.73190789473685,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
SE,NOX_final,pandemic,17544.0,60.6703146374829,58.0,12.0,3.0,10239.0,145.8082191780822,39.3296853625171,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|SO|NE
SE,NOX_final,transition,8760.0,4.32648401826484,229.0,1.0,0.0,11.0,1.6478260869565218,95.67351598173516,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|CE|NE
SE,NOX_final,current,21888.0,1.5305190058479532,153.0,10.0,0.0,28.0,2.0552147239263805,98.46948099415204,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|SO|NO
SO,NOX_final,pandemic,17544.0,19.39124487004104,138.0,45.0,16.0,712.0,17.09547738693467,80.60875512995896,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NE|CE
SO,NOX_final,transition,8760.0,2.6484018264840183,81.0,4.0,1.0,49.0,2.697674418604651,97.35159817351598,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|CE|NO2
SO,NOX_final,current,21888.0,4.03874269005848,158.0,15.0,2.0,197.0,5.051428571428572,95.96125730994152,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NO|SE
